Clock Issue: TimeControl/tseg_reg_i/tseg1mpl_iC_reg[4], TimeControl/tseg_reg_i/clockC_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateC_reg[0], TimeControl/bittiming/clockC_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateA_reg[3], TimeControl/bittiming/clockA_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateA_reg[2], TimeControl/bittiming/clockA_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateA_reg[1], TimeControl/bittiming/clockA_IBUF_BUFG
Clock Issue: TimeControl/bittiming/current_stateA_reg[0], TimeControl/bittiming/clockA_IBUF_BUFG
Clock Issue: reset_generator/countC_reg[1], reset_generator/clockC_IBUF_BUFG
Clock Issue: reset_generator/countC_reg[0], reset_generator/clockC_IBUF_BUFG
Clock Issue: reset_generator/countA_reg[1], reset_generator/clockA_IBUF_BUFG
Clock Issue: reset_generator/countA_reg[0], reset_generator/clockA_IBUF_BUFG
Clock Issue: reset_generator/activeC_reg, reset_generator/clockC_IBUF_BUFG
Clock Issue: reset_generator/activeA_reg, reset_generator/clockA_IBUF_BUFG
Clock Issue: prescaler/Prescale_ENC_reg, prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/Prescale_ENA_reg, prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/lo_countC_reg[3], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/lo_countC_reg[2], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/lo_countC_reg[1], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/lo_countC_reg[0], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/lo_countA_reg[3], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/lo_countA_reg[2], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/lo_countA_reg[1], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/lo_countA_reg[0], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/hiloC_reg, prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/hiloA_reg, prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/hi_countC_reg[3], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/hi_countC_reg[2], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/hi_countC_reg[1], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/hi_countC_reg[0], prescaler/clockC_IBUF_BUFG
Clock Issue: prescaler/hi_countA_reg[3], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/hi_countA_reg[2], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/hi_countA_reg[1], prescaler/clockA_IBUF_BUFG
Clock Issue: prescaler/hi_countA_reg[0], prescaler/clockA_IBUF_BUFG
Clock Issue: MediumAccessControl/transmitcrc/genblk1[14].reg_i/q_iC_reg, MediumAccessControl/transmitcrc/genblk1[14].reg_i/clockC_IBUF_BUFG
Reset Issue: MediumAccessControl/transmitcrc/genblk1[14].reg_i/q_iB_reg, MediumAccessControl/transmitcrc/genblk1[14].reg_i/p_0_in
Reset Issue: MediumAccessControl/transmitcrc/genblk1[14].reg_i/q_iA_reg, MediumAccessControl/transmitcrc/genblk1[14].reg_i/p_0_in
Clock Issue: MediumAccessControl/transmitcrc/genblk1[13].reg_i/q_iC_reg, MediumAccessControl/transmitcrc/genblk1[13].reg_i/clockC_IBUF_BUFG
Reset Issue: MediumAccessControl/transmitcrc/genblk1[13].reg_i/q_iB_reg, MediumAccessControl/transmitcrc/genblk1[13].reg_i/p_0_in
Reset Issue: MediumAccessControl/transmitcrc/genblk1[13].reg_i/q_iA_reg, MediumAccessControl/transmitcrc/genblk1[13].reg_i/p_0_in
Clock Issue: MediumAccessControl/transmitcrc/genblk1[12].reg_i/q_iC_reg, MediumAccessControl/transmitcrc/genblk1[12].reg_i/clockC_IBUF_BUFG
Reset Issue: MediumAccessControl/transmitcrc/genblk1[12].reg_i/q_iB_reg, MediumAccessControl/transmitcrc/genblk1[12].reg_i/p_0_in
Reset Issue: MediumAccessControl/transmitcrc/genblk1[12].reg_i/q_iA_reg, MediumAccessControl/transmitcrc/genblk1[12].reg_i/p_0_in
